CHAPTER,STAGE,LIMIT,ROW,COLUMN,TYPE,COLOR,HINT_ROW,HINT_COLUMN,SHOW_HINT,LKEY
5,8,3,3,3,....)....,BBWBBBWBB,1,1,FALSE,
5,9,3,3,3,....)....,BBWWBBBWB,0,0,FALSE,
5,10,4,3,3,....)....,WBWWWWBWB,0,1,FALSE,
5,11,3,3,3,.(.).).(.,BWBWBWBWB,1,1,FALSE,
5,12,3,3,3,.(.).).(.,BWBWWWWWW,0,0,FALSE,
5,13,3,3,3,.(.).).(.,BWWWBBWBW,0,1,FALSE,
5,14,3,3,3,.(.).).(.,WBBBWBWBB,0,2,FALSE,
5,15,4,3,3,.(.).).(.,WBWWWWBBB,1,0,FALSE,
5,16,2,3,3,(.(...).),BWBBBBBBB,0,0,FALSE,
5,17,3,3,3,(.(...).),WBWBBBBWB,2,2,FALSE,
5,18,3,3,3,(.(...).),WWWWWWWBW,0,1,FALSE,
5,19,4,3,3,(.(...).),BBBWBWWBW,1,1,FALSE,
5,20,5,3,3,(.(...).),BBBBWBWBW,2,1,FALSE,
6,1,1,3,3,.!.......,BWBBBBBBB,1,1,TRUE,TUTORIAL_FIXED
6,2,2,3,3,.!.......,BWWBWBWBB,0,0,TRUE,
6,3,2,3,3,.!.......,BWBBWBWWW,0,0,TRUE,
6,4,2,3,3,.!.......,BWWWWBWWB,1,0,FALSE,
6,5,3,3,3,.!.......,BWBWBWWBW,1,0,FALSE,
6,6,2,3,3,....!....,BWBBWBWWW,0,0,FALSE,
6,7,3,3,3,....!....,BWBWWWWBW,1,0,FALSE,
6,8,3,3,3,....!....,WWBWWWBWB,2,2,FALSE,
6,9,3,3,3,....!....,WBWWWWWWW,0,0,FALSE,
6,10,3,3,3,....!....,BWBWWBBBW,0,2,FALSE,
6,11,3,4,4,.....!..........,WBBBWWWWWWWWWWWW,0,2,FALSE,
6,12,3,4,4,.....!..........,BBBBBWBBBBWWBBWW,0,0,FALSE,
6,13,3,4,4,.....!..........,BWBBWWWBBWWBBBBW,0,0,FALSE,
6,14,3,4,4,.....!..........,WBBBBWWWBWBBBWBB,2,2,FALSE,
6,15,4,4,4,.....!..........,BBWBBWBWBBBBBBBB,0,1,FALSE,
6,16,3,4,4,.!!.............,BWWWWWBWWWBWWWBW,0,0,FALSE,
6,17,4,4,4,.!!.............,BWWBWBBWWBBWBWWB,2,2,FALSE,
6,18,4,4,4,.!!.............,BWWBWBBWBWWBBWWB,0,0,FALSE,
6,19,4,4,4,.!!.............,BWWBWBBWWBBWBBBB,1,1,FALSE,
6,20,4,4,4,.!!.............,BWWWBWWWWBWWWWBB,3,3,FALSE,
7,1,1,4,4,@...............,BBBBBBBBBBBBBBBB,0,0,TRUE,TUTORIAL_ALL
7,2,1,3,3,@...!....,BBBBWBBBB,0,0,FALSE,
7,3,2,3,3,@...!....,BBBBWWBWW,0,0,FALSE,
7,4,3,3,3,@...!....,BWWWWBWBB,0,0,FALSE,
7,5,3,3,3,@...!....,BWWWWWWWB,0,0,FALSE,
7,6,2,4,4,...............@,WWWBWWWBWWWBBBBB,3,3,FALSE,
7,7,3,4,4,...............@,BBWWBBWWWWBBWWBB,0,3,FALSE,
7,8,3,4,4,...............@,WBBBBBWWBWBBBWBB,2,2,FALSE,
7,9,4,4,4,...............@,BBWWBWBBWBWWWBWW,0,3,FALSE,
7,10,4,4,4,...............@,BWBBWWBWBBBWBWWB,0,0,FALSE,
7,11,3,4,4,.....@..........,BWWWWBBWWBBWWWWB,1,2,FALSE,
7,12,3,4,4,.....@..........,WWBBWBWWBWWWBWWW,1,1,FALSE,
7,13,3,4,4,.....@..........,WWWBWWWBWWWBWWWB,3,1,FALSE,
7,14,3,4,4,.....@..........,WWBWWWBWBBBBWWBB,3,3,FALSE,
7,15,3,4,4,.....@..........,BBBWBBBWBBWWWWWW,0,0,FALSE,
7,16,2,4,4,@!!!!...!...!...,BWWWWWWWWWWWWWWW,2,2,FALSE,
7,17,2,4,4,@!!!!...!...!...,BWWWWBBWWBWBWWBB,3,3,FALSE,
7,18,3,4,4,@!!!!...!...!...,WWWWWBBWWBBWWWWW,0,0,FALSE,
7,19,3,4,4,@!!!!...!...!...,BWWWWBWWWWBWWWWB,0,0,FALSE,
7,20,3,4,4,@!!!!...!...!...,WWWWWWWBWWBWWBWW,1,1,FALSE,
