CHAPTER,STAGE,LIMIT,ROW,COLUMN,TYPE,COLOR,HINT_ROW,HINT_COLUMN,SHOW_HINT,LKEY
2,10,3,4,4,.....++..++.....,WBWWBBWBWWWWWBWW,1,1,FALSE,
2,11,3,4,4,.....++..++.....,WBBBBBWBBWWWBBWW,1,1,FALSE,
2,12,3,4,4,.....++..++.....,WBWWBWBWWBWWBWBW,3,1,FALSE,
2,13,4,4,4,.....++..++.....,BBWWBBWBBWBBWWBB,2,1,FALSE,
2,14,4,4,4,.....++..++.....,WWWWBWWBWBBWBWWB,2,0,FALSE,
2,15,4,4,4,.....++..++.....,BBBBBBWBBWBBBBBW,0,0,FALSE,
2,16,3,4,4,.....+..........,WBWWBWWBWWWWWBWW,2,2,FALSE,
2,17,3,4,4,.....+..........,BBWWBWBBWBWWWBWW,0,0,FALSE,
2,18,3,4,4,.....+..........,WBBWBBWWBWWWWWWW,1,1,FALSE,
2,19,4,4,4,.....+..........,BBBWBBBWBBBBWWBB,0,1,FALSE,
2,20,4,4,4,.....+..........,WBWBBWBBWBWBBBBW,1,0,FALSE,
3,1,4,4,4,.....*....*.....,BBWBBWWWWWWBBWBB,2,1,FALSE,
3,2,4,4,4,.....*....*.....,BWWBWBBBWBWBBBBB,1,1,FALSE,
3,3,4,4,4,.....*....*.....,BBWWWBWBWWBWWBWB,2,2,FALSE,
3,4,4,4,4,.....*....*.....,BWWWWWBBWBWWWBWB,2,2,FALSE,
3,5,4,4,4,.....*....*.....,WBBWBBBWWBBBWBBW,2,3,FALSE,
3,6,3,4,4,..........*.....,BBBWBWBBBBBBWBBW,2,2,FALSE,
3,7,3,4,4,..........*.....,WWWWBWBWBBWBBWBW,2,2,FALSE,
3,8,3,4,4,..........*.....,WWWWBWWWBBBBBWWW,2,3,FALSE,
3,9,4,4,4,..........*.....,BBWWBWWBWWWWWBWB,2,2,FALSE,
3,10,5,4,4,..........*.....,WBBBWWWWWWWWWWWW,2,0,FALSE,
3,11,2,4,4,*..+........+..*,WWBBBBBBBBBWBBBW,2,1,FALSE,
3,12,4,4,4,*..+........+..*,BWBBWBWBBWBWBBWB,0,3,FALSE,
3,13,4,4,4,*..+........+..*,WWBBWBBWBBWBBWBW,0,3,FALSE,
3,14,5,4,4,*..+........+..*,WBWWBWWWWWBBWWBB,0,3,FALSE,
3,15,5,4,4,*..+........+..*,BWBBWWBWBBWBBWBW,2,2,FALSE,
3,16,3,4,4,.....+*..*+.....,WWBWBBBBWWBWWWWW,1,1,FALSE,
3,17,4,4,4,.....+*..*+.....,WBBBWBWBWBBBBWWW,2,1,FALSE,
3,18,4,4,4,.....+*..*+.....,WWWBWBBWWBBWBWWB,1,2,FALSE,
3,19,4,4,4,.....+*..*+.....,WBBBBWBWBBWBBWBW,2,1,FALSE,
3,20,5,4,4,.....+*..*+.....,BWWBWBBBWBWBBBBW,2,1,FALSE,
4,1,3,4,4,(..(........(..(,BWBWWWBBBBWBWBBB,3,3,FALSE,
4,2,3,4,4,(..(........(..(,WBBWBBBBBBBBBWWB,0,0,FALSE,
4,3,3,4,4,(..(........(..(,WBBBBBWWBWBBBWBB,2,2,FALSE,
4,4,4,4,4,(..(........(..(,BBWBBWBWWBWWBWWB,1,1,FALSE,
4,5,5,4,4,(..(........(..(,BWWBWBWWWWBBBWBW,1,1,FALSE,
4,6,3,4,4,.....(....(.....,WBBBBBWBBWBBBBBW,1,2,FALSE,
4,7,3,4,4,.....(....(.....,BBBWBWBWWBWBWBBB,0,1,FALSE,
4,8,4,4,4,.....(....(.....,WBWWBWBWWBWBWWBW,0,3,FALSE,
4,9,4,4,4,.....(....(.....,BBWBWWWBBWWWBWBB,2,0,FALSE,
4,10,5,4,4,.....(....(.....,BBBBWBWWWWBWBBBB,1,0,FALSE,
4,11,3,4,4,.((..........((.,WBWBBBBBBBBBBWBW,0,2,FALSE,
4,12,3,4,4,.((..........((.,BWBWWWWWWWWWBWBW,1,0,FALSE,
4,13,3,4,4,.((..........((.,BWBWBBWWBBWWBWBW,0,0,FALSE,
4,14,4,4,4,.((..........((.,BWWWBWWBBWWBWWWB,2,2,FALSE,
4,15,4,4,4,.((..........((.,BBWBWWWWWWWWBBWB,1,1,FALSE,
4,16,2,4,4,(.........*.....,BWWWWBWBWWBWWBWB,2,2,FALSE,
4,17,3,4,4,(.........*.....,BBBBBWBBBBWWBBWW,0,0,FALSE,
4,18,4,4,4,(.........*.....,BWWWWBBWWBBWWWWB,2,2,FALSE,
4,19,4,4,4,(.........*.....,WBBBBBBWBBWBBWBW,3,3,FALSE,
4,20,5,4,4,(.........*.....,WBWBBWWWWWWWBWWB,0,0,FALSE,
5,1,2,3,3,(.(...).),BWBBBBBBB,0,0,FALSE,
5,2,3,3,3,(.(...).),WBWBBBBWB,0,1,FALSE,
5,3,3,3,3,(.(...).),WWWWWWWBW,0,1,FALSE,
5,4,4,3,3,(.(...).),BBBWBWWBW,1,1,FALSE,
5,5,5,3,3,(.(...).),BBBBWBWBW,2,1,FALSE,
5,6,3,3,3,.(.).).(.,BWBWBWBWB,1,1,FALSE,
5,7,3,3,3,.(.).).(.,BWBWWWWWW,0,0,FALSE,
5,8,3,3,3,.(.).).(.,BWWWBBWBW,0,1,FALSE,
5,9,3,3,3,.(.).).(.,WBBBWBWBB,0,2,FALSE,
5,10,4,3,3,.(.).).(.,WBWWWWBBB,1,0,FALSE,
5,11,3,4,4,(..)........)..(,BWBBBBBBBBBBBBWB,0,0,FALSE,
5,12,3,4,4,(..)........)..(,BBBBBWWBBWWBBBBB,2,2,FALSE,
5,13,4,4,4,(..)........)..(,BBBBWBBWWBBWBWWB,1,0,FALSE,
5,14,4,4,4,(..)........)..(,BWBWBBBBBBBBWBWB,0,0,FALSE,
5,15,4,4,4,(..)........)..(,BBBBBBBBWBBWBWWB,1,0,FALSE,
5,16,3,4,4,.(..(+....+)..).,WBWWBWWWBBWBBBBW,3,0,FALSE,
5,17,4,4,4,.(..(+....+)..).,WWWWWBWWWWBWWWWW,1,1,FALSE,
5,18,4,4,4,.(..(+....+)..).,WBBBBWWBBWBBBBBB,3,3,FALSE,
5,19,4,4,4,.(..(+....+)..).,BBBBWWBBBBWWBBBB,0,0,FALSE,
5,20,4,4,4,.(..(+....+)..).,WBWWBWBWWBWBWWBW,0,3,FALSE,
6,1,3,4,4,.....!..........,WBBBWWWWWWWWWWWW,0,2,FALSE,
6,2,3,4,4,.....!..........,BBBBBWBBBBWWBBWW,0,0,FALSE,
6,3,3,4,4,.....!..........,BWBBWWWBBWWBBBBW,0,0,FALSE,
6,4,3,4,4,.....!..........,WBBBBWWWBWBBBWBB,2,2,FALSE,
6,5,4,4,4,.....!..........,BBWBBWBWBBBBBBBB,0,1,FALSE,
6,6,3,4,4,.!!.............,BWWWWWBWWWBWWWBW,0,0,FALSE,
6,7,4,4,4,.!!.............,BWWBWBBWWBBWBWWB,2,2,FALSE,
6,8,4,4,4,.!!.............,BWWBWBBWBWWBBWWB,0,0,FALSE,
6,9,4,4,4,.!!.............,BWWBWBBWWBBWBBBB,1,1,FALSE,
6,10,4,4,4,.!!.............,BWWWBWWWWBWWWWBB,3,3,FALSE,
6,11,4,5,5,.......!........!.!......,BBWBBBBWBBBBWBBBWWWBBBWBB,1,4,FALSE,
6,12,5,5,5,.......!........!.!......,BBBBBBBWWWBBWBBBWWWWBBWBB,0,1,FALSE,
6,13,6,5,5,.......!........!.!......,BBBBBWWWWWBBWBBWWBWWBBBBB,4,1,FALSE,
6,14,6,5,5,.......!........!.!......,BWWBWBWWBWWWBWWBWBWWBWWBW,4,2,FALSE,
6,15,6,5,5,.......!........!.!......,BBBBBBWWBWBWBWBBWBWWBBBBB,2,2,FALSE,
6,16,4,5,5,......!.!.......!.!......,WBBBWBWBWBBBWBBBWBWBWBBBW,2,1,FALSE,
6,17,4,5,5,......!.!.......!.!......,WBBWBBWWWBBWWWBBWWWBWWBBB,2,1,FALSE,
6,18,6,5,5,......!.!.......!.!......,BBWBBBWBWBWWBWWBWWWBBBBBB,0,4,FALSE,
6,19,6,5,5,......!.!.......!.!......,BWBWBWWWWBBWWWBWWWWBBBBBB,1,4,FALSE,
6,20,7,5,5,......!.!.......!.!......,BBWBBBWWWBBWWWBBWWWBBBWBB,2,2,FALSE,
7,1,2,3,3,@...*....,WBWBWBWBW,1,1,FALSE,
7,2,3,3,3,@...*....,BWWWBBWBB,0,0,FALSE,
7,3,3,3,3,@...*....,BWWWBWWWB,0,0,FALSE,
7,4,3,3,3,@...*....,BWBBBBWWW,1,1,FALSE,
7,5,4,3,3,@...*....,BBWBWBWBW,1,1,FALSE,
7,6,3,4,4,@.........+.....,BBBBBBWBBWBBBBBW,2,2,FALSE,
7,7,3,4,4,@.........+.....,WWBBWWWBBWBWBBWW,2,2,FALSE,
7,8,4,4,4,@.........+.....,WWBBWWWBBWWWBBWB,2,2,FALSE,
7,9,4,4,4,@.........+.....,BBWWBBBWWBWWWWWB,2,2,FALSE,
7,10,4,4,4,@.........+.....,BBWBBBWBWWWWBBWW,0,0,FALSE,
7,11,3,5,5,............@............,WWWBBWWWBBWWBWWBBWWWBBWWW,2,2,FALSE,
7,12,3,5,5,............@............,BWWWBBWWWBBWWWBBWWWBBWWWB,2,1,FALSE,
7,13,4,5,5,............@............,BWWWBBWWWBWBWBWWWBWWWWBWW,0,0,FALSE,
7,14,5,5,5,............@............,BBWBBBBWBBWWBWWBBWBBBBWBB,2,2,FALSE,
7,15,5,5,5,............@............,BWWWBWBWBWWWBWWWBWBWBWWWB,2,2,FALSE,
7,16,4,5,5,+...+.......@.......+...+,WWBWWWBBBWBBBBBBWWWBBWWWB,4,2,FALSE,
7,17,5,5,5,+...+.......@.......+...+,WWBWWWBBBWBBBBBWBBBWWWBWW,2,2,FALSE,
7,18,5,5,5,+...+.......@.......+...+,WWWWWWBWWWWWBWWWWWBWWWWWW,0,0,FALSE,
7,19,5,5,5,+...+.......@.......+...+,WWBWWWBBBWBBBBBWWBWWWWBWW,4,1,FALSE,
7,20,5,5,5,+...+.......@.......+...+,BWBWBBBBBBBBBBBBBBBBBBBBB,0,2,FALSE,
